epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0938,2.13348,3.81474,2.1255,0.33485,0.05317,0.06461,0.02547,2.40345,3.61206,2.44973,0.000411932,0.000411932,0.000411932
2,78.3635,2.10133,3.38576,2.1069,0.08862,0.06765,0.0464,0.02182,2.55927,3.63341,2.56808,0.000801255,0.000801255,0.000801255
3,114.073,2.14212,3.28324,2.11978,0.42348,0.06962,0.05069,0.01502,2.65727,4.10668,2.5471,0.00116308,0.00116308,0.00116308
4,148.284,2.1055,3.13402,2.1182,0.4111,0.10824,0.10611,0.04073,2.42202,3.32005,2.51626,0.00112625,0.00112625,0.00112625
5,182.425,2.08705,3.0499,2.10357,0.34169,0.13577,0.12246,0.05129,2.27934,3.234,2.35641,0.001085,0.001085,0.001085
6,221.496,2.04129,2.99575,2.07064,0.51596,0.09614,0.11459,0.05039,2.32951,3.16192,2.32398,0.00104375,0.00104375,0.00104375
7,260.275,2.03499,2.91546,2.06897,0.22227,0.16425,0.12948,0.0589,2.32278,3.32145,2.40483,0.0010025,0.0010025,0.0010025
8,300.482,2.01562,2.88574,2.0324,0.17005,0.17068,0.13783,0.06709,2.32975,3.09186,2.31676,0.00096125,0.00096125,0.00096125
9,339.205,1.9885,2.80847,2.01697,0.33814,0.19847,0.19924,0.09522,2.22695,2.82966,2.29524,0.00092,0.00092,0.00092
10,376.561,1.98784,2.74652,1.99403,0.27292,0.24802,0.17764,0.08436,2.28626,3.00745,2.29805,0.00087875,0.00087875,0.00087875
11,414.484,1.98093,2.75828,2.00502,0.26673,0.2105,0.17313,0.07308,2.29903,2.92737,2.30785,0.0008375,0.0008375,0.0008375
12,452.338,1.96043,2.68952,1.98777,0.27734,0.17558,0.1741,0.08237,2.2606,3.2621,2.32577,0.00079625,0.00079625,0.00079625
13,490.604,1.9505,2.65142,1.9626,0.35691,0.21989,0.20356,0.09113,2.22996,2.93101,2.30322,0.000755,0.000755,0.000755
14,530.755,1.92713,2.60395,1.97648,0.35633,0.21842,0.22729,0.1111,2.19704,2.78904,2.24186,0.00071375,0.00071375,0.00071375
15,571.976,1.93067,2.58313,1.9606,0.37117,0.27024,0.2584,0.12221,2.16741,2.69862,2.18745,0.0006725,0.0006725,0.0006725
16,610.44,1.89581,2.53263,1.93625,0.37188,0.24392,0.25034,0.11475,2.1828,2.78657,2.28689,0.00063125,0.00063125,0.00063125
17,647.833,1.89335,2.52475,1.94167,0.32783,0.28259,0.25162,0.12755,2.13232,2.66108,2.20012,0.00059,0.00059,0.00059
18,685.765,1.88826,2.48637,1.93613,0.41095,0.26955,0.2753,0.13724,2.06573,2.62709,2.22918,0.00054875,0.00054875,0.00054875
19,722.672,1.84392,2.41901,1.90333,0.33252,0.29708,0.27493,0.13981,2.08991,2.58467,2.17421,0.0005075,0.0005075,0.0005075
20,760.304,1.84948,2.40617,1.88175,0.40937,0.29791,0.27225,0.13897,2.07496,2.58837,2.1853,0.00046625,0.00046625,0.00046625
21,827.09,1.96125,2.52717,2.05013,0.37116,0.28881,0.29432,0.14855,2.04896,2.53827,2.15065,0.000425,0.000425,0.000425
22,863.479,1.90906,2.41735,2.00929,0.40098,0.2696,0.27714,0.14195,2.08882,2.53253,2.14273,0.00038375,0.00038375,0.00038375
23,911.769,1.89477,2.33632,1.99665,0.39112,0.32031,0.31877,0.16045,2.05643,2.44315,2.16713,0.0003425,0.0003425,0.0003425
24,951.086,1.89737,2.31361,2.00345,0.46235,0.3182,0.33519,0.16746,2.0289,2.4075,2.1199,0.00030125,0.00030125,0.00030125
25,989.84,1.88453,2.27663,1.99702,0.41255,0.36675,0.33924,0.17389,2.02849,2.35866,2.10267,0.00026,0.00026,0.00026
26,1027.98,1.83716,2.22024,1.96209,0.40615,0.3382,0.34181,0.17261,2.01736,2.37102,2.12929,0.00021875,0.00021875,0.00021875
27,1065.2,1.82258,2.18434,1.95555,0.41186,0.35214,0.35394,0.18362,2.00783,2.32346,2.13901,0.0001775,0.0001775,0.0001775
28,1102.44,1.80251,2.13319,1.93366,0.46367,0.36004,0.37258,0.18627,2.00833,2.315,2.09484,0.00013625,0.00013625,0.00013625
29,1139.08,1.80234,2.11418,1.92055,0.49662,0.35394,0.373,0.18702,2.00538,2.30214,2.10825,9.5e-05,9.5e-05,9.5e-05
30,1182.5,1.78581,2.09018,1.90941,0.46135,0.37724,0.38311,0.19033,1.99247,2.27295,2.07205,5.375e-05,5.375e-05,5.375e-05
