epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1194,2.1894,3.62971,2.16589,0.84408,0.05165,0.05235,0.02282,2.73028,3.56879,2.62909,0.000415007,0.000415007,0.000415007
2,91.7806,2.23724,3.3383,2.26159,0.35295,0.09179,0.05657,0.02036,2.49487,3.43945,2.63035,0.000804228,0.000804228,0.000804228
3,134.391,2.22401,3.26347,2.26925,0.62647,0.09854,0.10153,0.04591,2.42281,3.30379,2.55211,0.00116595,0.00116595,0.00116595
4,176.75,2.21556,3.27985,2.24608,0.14914,0.13033,0.08553,0.03321,2.40805,3.32318,2.59758,0.00112625,0.00112625,0.00112625
5,219.008,2.16626,3.24492,2.21018,0.13149,0.17423,0.1005,0.0426,2.37265,3.48402,2.50983,0.001085,0.001085,0.001085
6,261.492,2.14087,3.16625,2.18559,0.18361,0.13133,0.12547,0.04539,2.35113,3.23388,2.47622,0.00104375,0.00104375,0.00104375
7,303.593,2.09832,3.11818,2.12952,0.22069,0.1962,0.14522,0.06194,2.26212,3.00364,2.35925,0.0010025,0.0010025,0.0010025
8,345.866,2.07556,3.0487,2.11812,0.74063,0.14147,0.15727,0.07482,2.20196,3.00502,2.3748,0.00096125,0.00096125,0.00096125
9,397.438,2.0575,3.01531,2.10637,0.23391,0.20116,0.16186,0.07509,2.26028,3.01676,2.36348,0.00092,0.00092,0.00092
10,448.374,2.05923,2.97995,2.08004,0.20024,0.20787,0.16925,0.07838,2.27158,2.89724,2.37206,0.00087875,0.00087875,0.00087875
11,498.852,2.02552,2.89929,2.05378,0.29041,0.19919,0.17681,0.08851,2.22713,2.88868,2.30471,0.0008375,0.0008375,0.0008375
12,551.79,2.01978,2.88054,2.05569,0.2634,0.21543,0.19812,0.09673,2.24097,2.81916,2.3005,0.00079625,0.00079625,0.00079625
13,602.898,2.01434,2.84401,2.0441,0.64566,0.1554,0.19189,0.09137,2.14964,2.88933,2.27763,0.000755,0.000755,0.000755
14,654.014,1.96513,2.82081,2.0455,0.27815,0.21476,0.1963,0.09538,2.12339,2.84524,2.27917,0.00071375,0.00071375,0.00071375
15,696.743,1.97792,2.8062,2.02568,0.30064,0.20602,0.20909,0.1049,2.10493,2.73934,2.1965,0.0006725,0.0006725,0.0006725
16,739.116,1.96417,2.78328,2.01949,0.31583,0.22246,0.20808,0.10117,2.16219,2.7693,2.2396,0.00063125,0.00063125,0.00063125
17,781.257,1.95191,2.80437,2.02054,0.29792,0.23819,0.20693,0.10894,2.11723,2.70545,2.18156,0.00059,0.00059,0.00059
18,823.471,1.95308,2.70915,1.98991,0.35304,0.22151,0.23349,0.12178,2.08611,2.64403,2.20352,0.00054875,0.00054875,0.00054875
19,865.368,1.90876,2.67526,1.99154,0.30851,0.22259,0.22404,0.11851,2.10279,2.73943,2.23533,0.0005075,0.0005075,0.0005075
20,907.443,1.89362,2.63978,1.98179,0.32323,0.2485,0.23748,0.11499,2.06107,2.57283,2.162,0.00046625,0.00046625,0.00046625
21,963.581,1.97936,2.73922,2.10817,0.38832,0.25309,0.24749,0.1312,2.0729,2.60658,2.20899,0.000425,0.000425,0.000425
22,1013.62,1.9678,2.64781,2.11129,0.31708,0.27344,0.24328,0.12616,2.06638,2.56691,2.16129,0.00038375,0.00038375,0.00038375
23,1064.31,1.94456,2.5914,2.0823,0.36211,0.24772,0.25525,0.12962,2.05455,2.55847,2.15837,0.0003425,0.0003425,0.0003425
24,1117.54,1.93283,2.57509,2.06952,0.32601,0.29007,0.27224,0.14265,2.04754,2.47747,2.16686,0.00030125,0.00030125,0.00030125
25,1169.28,1.91267,2.52174,2.06134,0.36862,0.3015,0.27795,0.13994,2.05741,2.46359,2.16441,0.00026,0.00026,0.00026
26,1212.57,1.89594,2.48034,2.055,0.37663,0.31979,0.29401,0.15005,2.01561,2.44413,2.15728,0.00021875,0.00021875,0.00021875
27,1254.22,1.88179,2.4451,2.04835,0.40259,0.28357,0.29235,0.15391,1.9996,2.41306,2.13872,0.0001775,0.0001775,0.0001775
28,1295.86,1.87386,2.41142,2.03729,0.40834,0.29564,0.29362,0.1537,1.98116,2.37926,2.12345,0.00013625,0.00013625,0.00013625
29,1337.59,1.85862,2.35734,2.03063,0.39881,0.29767,0.29548,0.15508,1.99488,2.364,2.13775,9.5e-05,9.5e-05,9.5e-05
30,1379.22,1.83018,2.31455,1.99963,0.41383,0.2845,0.29992,0.15969,1.98556,2.34481,2.12376,5.375e-05,5.375e-05,5.375e-05
