epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1014,2.2277,3.58895,2.20911,0.008,0.43465,0.05586,0.01603,2.42076,3.62783,2.5226,0.00046412,0.00046412,0.00046412
2,33.4968,2.06419,3.10177,2.10973,0.1802,0.10886,0.0923,0.02905,2.52102,3.26018,2.61144,0.000909418,0.000909418,0.000909418
3,48.6236,2.13545,3.00337,2.18422,0.53487,0.04299,0.01777,0.0045,3.06051,3.9101,3.112,0.00132328,0.00132328,0.00132328
4,63.9853,2.13779,2.91128,2.15626,0.19142,0.14594,0.09357,0.03137,2.57256,3.82883,2.88379,0.00128753,0.00128753,0.00128753
5,78.9634,2.12156,2.83742,2.16375,0.6312,0.11943,0.10081,0.03498,2.54876,3.82788,2.65179,0.00124037,0.00124037,0.00124037
6,94.2635,2.05836,2.75543,2.14952,0.17365,0.20699,0.10283,0.03524,2.33167,4.11425,2.55235,0.00119322,0.00119322,0.00119322
7,110.117,2.06619,2.69867,2.10804,0.73341,0.1672,0.20331,0.07639,2.20167,3.18687,2.42637,0.00114606,0.00114606,0.00114606
8,126.442,2.03615,2.61444,2.08152,0.29003,0.20182,0.14814,0.0566,2.33763,2.96753,2.41104,0.0010989,0.0010989,0.0010989
9,143.104,2.01513,2.57659,2.03039,0.37551,0.23593,0.1906,0.07596,2.28201,2.93805,2.39851,0.00105174,0.00105174,0.00105174
10,160.066,2.00941,2.60839,2.07681,0.34317,0.25474,0.22842,0.08742,2.37279,2.7304,2.41729,0.00100459,0.00100459,0.00100459
11,176.977,1.97708,2.55551,2.04073,0.3206,0.2853,0.237,0.09295,2.2029,2.99764,2.27532,0.00095743,0.00095743,0.00095743
12,194.574,1.97471,2.49175,2.05165,0.34225,0.32917,0.29382,0.12506,2.14763,2.47243,2.25988,0.000910273,0.000910273,0.000910273
13,211.654,1.96763,2.43806,2.01732,0.39742,0.31178,0.28815,0.12082,2.11809,2.50487,2.20422,0.000863116,0.000863116,0.000863116
14,229.68,1.91074,2.4501,1.96906,0.48807,0.27199,0.30987,0.13404,2.10469,2.66929,2.23039,0.000815959,0.000815959,0.000815959
15,246.757,1.91663,2.39368,1.98148,0.40432,0.37651,0.35174,0.15754,2.0401,2.35766,2.22849,0.000768802,0.000768802,0.000768802
16,263.33,1.88986,2.3774,1.98568,0.40777,0.33054,0.33454,0.15023,2.04557,2.41882,2.16175,0.000721645,0.000721645,0.000721645
17,279.318,1.86039,2.3727,1.93526,0.41574,0.3902,0.37765,0.17492,1.97663,2.28679,2.11522,0.000674488,0.000674488,0.000674488
18,295.519,1.90402,2.31853,1.94979,0.39257,0.39303,0.36674,0.16357,2.01612,2.28317,2.12809,0.000627331,0.000627331,0.000627331
19,312.804,1.84416,2.2959,1.92178,0.59368,0.33769,0.40243,0.1762,2.00259,2.30296,2.12337,0.000580174,0.000580174,0.000580174
20,329.814,1.8682,2.30221,1.94115,0.4027,0.4339,0.38734,0.16221,1.94259,2.15566,2.0498,0.000533017,0.000533017,0.000533017
21,360.532,1.95437,2.38935,2.04995,0.45216,0.40625,0.4202,0.19863,1.87638,2.20377,2.03222,0.00048586,0.00048586,0.00048586
22,376.836,1.88128,2.33471,2.02848,0.42671,0.459,0.44987,0.21938,1.83008,2.14594,1.99147,0.000438703,0.000438703,0.000438703
23,393.207,1.88507,2.31234,2.01453,0.43683,0.4516,0.44757,0.22305,1.80863,2.17117,1.94688,0.000391546,0.000391546,0.000391546
24,410.187,1.8511,2.26087,1.99094,0.43184,0.48429,0.47373,0.23841,1.77239,2.09299,1.97233,0.000344389,0.000344389,0.000344389
25,426.829,1.80698,2.24469,1.98673,0.47584,0.48389,0.48202,0.24863,1.7522,2.00002,1.93391,0.000297232,0.000297232,0.000297232
26,444.108,1.81133,2.18982,1.9532,0.49255,0.48979,0.4915,0.23992,1.74736,1.97301,1.8786,0.000250075,0.000250075,0.000250075
27,460.715,1.80609,2.18034,1.92783,0.50021,0.49928,0.50527,0.26676,1.7107,1.93842,1.89683,0.000202918,0.000202918,0.000202918
28,477.241,1.77942,2.14914,1.94284,0.51714,0.49875,0.51909,0.27382,1.67896,1.90933,1.85682,0.000155761,0.000155761,0.000155761
29,494.223,1.76751,2.11204,1.92066,0.51349,0.5228,0.53362,0.28589,1.66126,1.87442,1.84062,0.000108604,0.000108604,0.000108604
30,510.958,1.73731,2.08546,1.90235,0.52313,0.53398,0.55096,0.29775,1.64541,1.84509,1.81778,6.1447e-05,6.1447e-05,6.1447e-05
