epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2136,2.14288,3.70815,2.11501,0.00412,0.44723,0.03787,0.01211,2.60252,3.72649,2.51437,0.000411325,0.000411325,0.000411325
2,72.1449,2.08985,3.26706,2.05304,0.13967,0.15708,0.09812,0.04082,2.63452,3.38084,2.62326,0.000800668,0.000800668,0.000800668
3,131.189,2.12293,3.19188,2.0895,0.10383,0.14039,0.08642,0.04181,2.45929,3.5049,2.58629,0.00116251,0.00116251,0.00116251
4,188.656,2.12048,3.14998,2.12323,0.33932,0.07761,0.04684,0.01572,2.69688,3.53235,2.56232,0.00112625,0.00112625,0.00112625
5,253.265,2.08327,3.07242,2.09246,0.12373,0.0962,0.07826,0.03632,2.52425,3.57513,2.57215,0.001085,0.001085,0.001085
6,305.88,2.07356,3.02363,2.07776,0.1773,0.13542,0.12103,0.05543,2.46014,3.37943,2.4778,0.00104375,0.00104375,0.00104375
7,363.199,2.03654,2.92766,2.08599,0.24931,0.18304,0.17351,0.07591,2.33695,3.08646,2.37158,0.0010025,0.0010025,0.0010025
8,415.201,2.0291,2.85905,2.04681,0.24662,0.17361,0.15607,0.07031,2.35281,3.20179,2.44077,0.00096125,0.00096125,0.00096125
9,466.444,1.98737,2.84689,2.04237,0.246,0.23736,0.18629,0.08842,2.21762,2.9787,2.27867,0.00092,0.00092,0.00092
10,519.789,1.97573,2.77354,2.00176,0.29388,0.22709,0.19991,0.09584,2.2766,2.99544,2.3778,0.00087875,0.00087875,0.00087875
11,568.331,1.96181,2.6882,1.97039,0.33403,0.20743,0.19865,0.09319,2.23207,2.85411,2.27221,0.0008375,0.0008375,0.0008375
12,614.418,1.94504,2.69567,1.98137,0.2959,0.21879,0.1815,0.08689,2.44732,3.05446,2.39342,0.00079625,0.00079625,0.00079625
13,665.767,1.91931,2.62033,1.95148,0.36264,0.24717,0.25074,0.12596,2.20748,2.81788,2.21945,0.000755,0.000755,0.000755
14,711.453,1.92306,2.59326,1.96525,0.34948,0.2173,0.22305,0.11071,2.18536,2.83926,2.26704,0.00071375,0.00071375,0.00071375
15,762.721,1.90842,2.56265,1.94706,0.36013,0.2673,0.2415,0.11596,2.24108,2.76056,2.30276,0.0006725,0.0006725,0.0006725
16,807.861,1.8933,2.50713,1.93127,0.46464,0.23819,0.26512,0.12792,2.15159,2.77156,2.22436,0.00063125,0.00063125,0.00063125
17,849.627,1.85316,2.46039,1.91574,0.33127,0.29917,0.25942,0.1295,2.15328,2.75305,2.22137,0.00059,0.00059,0.00059
18,894.411,1.86981,2.42385,1.89889,0.4477,0.25068,0.27344,0.13921,2.10783,2.64758,2.17552,0.00054875,0.00054875,0.00054875
19,935.835,1.85645,2.41478,1.90962,0.41101,0.30093,0.28121,0.14001,2.11056,2.6624,2.21375,0.0005075,0.0005075,0.0005075
20,974.955,1.82418,2.34131,1.8675,0.542,0.26832,0.30813,0.15153,2.10104,2.55887,2.18159,0.00046625,0.00046625,0.00046625
21,1055.84,1.93952,2.45552,2.04017,0.49518,0.26421,0.30218,0.14946,2.04376,2.58079,2.14354,0.000425,0.000425,0.000425
22,1096.03,1.91899,2.41312,2.02491,0.41791,0.28857,0.29194,0.15013,2.07283,2.58516,2.11715,0.00038375,0.00038375,0.00038375
23,1133.95,1.88122,2.33182,1.98528,0.43151,0.32996,0.33501,0.17005,2.04375,2.43006,2.11466,0.0003425,0.0003425,0.0003425
24,1172.62,1.85459,2.27521,1.97416,0.46911,0.31782,0.33995,0.17271,2.0503,2.43718,2.12896,0.00030125,0.00030125,0.00030125
25,1213.56,1.86022,2.24136,1.99718,0.43223,0.32952,0.34926,0.18412,2.01431,2.36303,2.09973,0.00026,0.00026,0.00026
26,1252.55,1.81694,2.20124,1.94575,0.56648,0.32929,0.36291,0.18056,2.04384,2.38478,2.10873,0.00021875,0.00021875,0.00021875
27,1291.56,1.80843,2.14333,1.9337,0.45994,0.37075,0.37083,0.18794,1.99561,2.34967,2.07509,0.0001775,0.0001775,0.0001775
28,1322.1,1.79736,2.11714,1.93658,0.44939,0.37563,0.38007,0.18939,2.02198,2.32328,2.09061,0.00013625,0.00013625,0.00013625
29,1356.79,1.76621,2.06213,1.91553,0.48375,0.37084,0.38316,0.19236,1.99484,2.31153,2.09606,9.5e-05,9.5e-05,9.5e-05
30,1382.13,1.75231,2.03127,1.905,0.47047,0.37689,0.3818,0.1918,1.9891,2.32417,2.07275,5.375e-05,5.375e-05,5.375e-05
