epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4653,1.62377,3.09816,1.59264,0.27221,0.41809,0.27412,0.13299,1.68332,2.58831,1.69381,0.000552679,0.000552679,0.000552679
2,166.239,1.70198,2.8381,1.6782,0.42125,0.46125,0.36265,0.18608,1.811,2.74225,1.8351,0.00107177,0.00107177,0.00107177
3,266.031,1.72902,2.54446,1.7193,0.6077,0.38885,0.41703,0.21721,1.87799,2.55545,1.99095,0.00155419,0.00155419,0.00155419
4,362.995,1.78285,2.40943,1.80572,0.54948,0.45306,0.45549,0.24912,1.74383,2.14127,1.82551,0.00150197,0.00150197,0.00150197
5,455.253,1.79186,2.29274,1.78805,0.64346,0.49547,0.53627,0.30108,1.68606,1.85019,1.77804,0.00144696,0.00144696,0.00144696
6,528.073,1.6715,2.10846,1.69342,0.51696,0.51426,0.53415,0.29421,1.62118,1.84797,1.69342,0.00139195,0.00139195,0.00139195
7,569.129,1.69236,2.03746,1.65901,0.59377,0.53266,0.58043,0.32877,1.61845,1.71777,1.65733,0.00133693,0.00133693,0.00133693
8,606.448,1.6814,1.94161,1.67275,0.68346,0.51171,0.58115,0.32607,1.61978,1.73232,1.66842,0.00128192,0.00128192,0.00128192
9,645.698,1.60639,1.80678,1.65372,0.66996,0.55557,0.63178,0.36473,1.55578,1.53877,1.68208,0.00122691,0.00122691,0.00122691
10,683.587,1.62956,1.80598,1.66359,0.69657,0.57068,0.61203,0.36646,1.54276,1.56242,1.6381,0.0011719,0.0011719,0.0011719
11,722.599,1.64451,1.81068,1.63286,0.72725,0.62047,0.64611,0.38928,1.53779,1.54737,1.60118,0.00111689,0.00111689,0.00111689
12,759.792,1.65062,1.80554,1.62405,0.77692,0.5612,0.67007,0.40342,1.46697,1.4407,1.56002,0.00106188,0.00106188,0.00106188
13,797.589,1.54854,1.70029,1.58963,0.72523,0.61276,0.67768,0.41612,1.45332,1.51261,1.56466,0.00100687,0.00100687,0.00100687
14,838.561,1.55537,1.7092,1.58205,0.7895,0.6173,0.72479,0.45298,1.44286,1.36325,1.5193,0.000951857,0.000951857,0.000951857
15,881.25,1.55136,1.5993,1.58621,0.79515,0.66561,0.76139,0.47172,1.42522,1.29292,1.54436,0.000896846,0.000896846,0.000896846
16,924.776,1.51016,1.48711,1.52376,0.81499,0.67005,0.75559,0.48037,1.45237,1.27709,1.53759,0.000841835,0.000841835,0.000841835
17,999.293,1.49436,1.52018,1.5175,0.77999,0.67903,0.74915,0.47775,1.39033,1.27711,1.4961,0.000786824,0.000786824,0.000786824
18,1093.69,1.46271,1.44544,1.51919,0.71832,0.68095,0.70697,0.43726,1.42847,1.42659,1.50036,0.000731813,0.000731813,0.000731813
19,1184.42,1.45002,1.5021,1.53444,0.81986,0.68374,0.78328,0.49399,1.38849,1.16921,1.48313,0.000676802,0.000676802,0.000676802
20,1270.07,1.45069,1.47494,1.51351,0.73473,0.7282,0.77721,0.50757,1.3207,1.16255,1.4232,0.000621791,0.000621791,0.000621791
21,1350.36,1.3761,1.34974,1.47743,0.85387,0.68582,0.80768,0.53825,1.30537,1.11982,1.44149,0.00056678,0.00056678,0.00056678
22,1380.76,1.37587,1.2457,1.48915,0.81963,0.72953,0.8067,0.53571,1.30709,1.07552,1.43835,0.000511769,0.000511769,0.000511769
23,1410.88,1.36378,1.20336,1.48966,0.84631,0.73724,0.80763,0.53652,1.27281,1.06343,1.40948,0.000456758,0.000456758,0.000456758
24,1444.61,1.3188,1.16897,1.44897,0.85854,0.75675,0.84319,0.56582,1.26887,0.99334,1.39518,0.000401747,0.000401747,0.000401747
25,1482.64,1.31564,1.16262,1.42063,0.87087,0.74362,0.83878,0.57605,1.24532,0.99467,1.37537,0.000346736,0.000346736,0.000346736
26,1512.27,1.29582,1.1127,1.43065,0.8623,0.75794,0.85263,0.58201,1.23493,0.97197,1.36614,0.000291725,0.000291725,0.000291725
27,1544.39,1.27895,1.10701,1.40296,0.89088,0.73805,0.85738,0.59451,1.21581,0.9394,1.35853,0.000236714,0.000236714,0.000236714
28,1578.18,1.27215,1.07899,1.40541,0.90403,0.74863,0.86307,0.59886,1.20513,0.92327,1.35792,0.000181703,0.000181703,0.000181703
29,1612.42,1.25529,1.01605,1.38299,0.85568,0.7827,0.86892,0.60258,1.19378,0.90499,1.34585,0.000126692,0.000126692,0.000126692
30,1700.48,1.24126,1.03969,1.38366,0.86766,0.78295,0.87361,0.61282,1.17774,0.8869,1.33299,7.1681e-05,7.1681e-05,7.1681e-05
