epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8387,1.65165,3.25985,1.58755,0.00284,0.65538,0.24196,0.13055,1.82563,3.28918,1.79303,0.00045009,0.00045009,0.00045009
2,24.5058,1.61602,2.50181,1.59346,0.83228,0.08427,0.34208,0.16846,1.6463,2.86605,1.62566,0.000886594,0.000886594,0.000886594
3,35.8271,1.66543,2.39927,1.59544,0.45058,0.29829,0.27251,0.14004,1.9833,2.93434,2.00584,0.00129229,0.00129229,0.00129229
4,46.8314,1.71884,2.37192,1.6821,0.09524,0.12378,0.03061,0.01566,2.34309,5.26196,2.4159,0.00150197,0.00150197,0.00150197
5,57.6351,1.69795,2.15112,1.65808,0.33508,0.27344,0.16082,0.09592,1.95864,4.12141,1.98247,0.00144696,0.00144696,0.00144696
6,68.6056,1.72212,2.05729,1.63269,0.24431,0.24309,0.17903,0.0948,2.19471,3.31781,2.12062,0.00139195,0.00139195,0.00139195
7,79.363,1.6505,1.89845,1.58817,0.55842,0.43469,0.44547,0.23234,1.89508,2.49411,1.8926,0.00133693,0.00133693,0.00133693
8,90.1716,1.66052,1.82689,1.61544,0.49456,0.44721,0.41684,0.20358,1.98879,2.06539,1.90082,0.00128192,0.00128192,0.00128192
9,101.049,1.54235,1.68551,1.5344,0.70784,0.57514,0.64787,0.36583,1.65242,1.67692,1.66979,0.00122691,0.00122691,0.00122691
10,111.915,1.55184,1.64424,1.53056,0.69228,0.52292,0.61964,0.35831,1.59491,1.71072,1.64621,0.0011719,0.0011719,0.0011719
11,123.431,1.55729,1.64364,1.53201,0.73656,0.56731,0.64542,0.37387,1.62392,1.60862,1.62561,0.00111689,0.00111689,0.00111689
12,135.042,1.52113,1.55173,1.49892,0.72958,0.58671,0.66253,0.4004,1.544,1.48991,1.55138,0.00106188,0.00106188,0.00106188
13,146.646,1.49665,1.50595,1.48671,0.78112,0.6148,0.69374,0.40456,1.58654,1.4973,1.54857,0.00100687,0.00100687,0.00100687
14,158.193,1.47496,1.44943,1.45617,0.80699,0.6612,0.76214,0.47882,1.47839,1.27367,1.50431,0.000951857,0.000951857,0.000951857
15,169.798,1.47199,1.40487,1.47279,0.75978,0.62859,0.71084,0.4182,1.50267,1.33073,1.53548,0.000896846,0.000896846,0.000896846
16,181.396,1.47804,1.42117,1.47097,0.8142,0.6539,0.76961,0.48741,1.4521,1.22756,1.45098,0.000841835,0.000841835,0.000841835
17,192.875,1.42574,1.30953,1.43338,0.78607,0.64516,0.76482,0.47645,1.45173,1.26608,1.48589,0.000786824,0.000786824,0.000786824
18,204.368,1.44543,1.31798,1.44341,0.84424,0.65945,0.77914,0.49856,1.38202,1.23147,1.41916,0.000731813,0.000731813,0.000731813
19,215.867,1.37357,1.25096,1.408,0.87383,0.67851,0.81746,0.52568,1.38804,1.15004,1.40031,0.000676802,0.000676802,0.000676802
20,227.826,1.40102,1.27278,1.41329,0.81039,0.67255,0.79009,0.52243,1.34422,1.17153,1.39694,0.000621791,0.000621791,0.000621791
21,245.033,1.37737,1.21685,1.4172,0.85922,0.68765,0.82025,0.54396,1.31957,1.07188,1.37166,0.00056678,0.00056678,0.00056678
22,256.475,1.35481,1.16416,1.412,0.86307,0.74314,0.84141,0.56389,1.29667,0.99919,1.36645,0.000511769,0.000511769,0.000511769
23,267.967,1.33377,1.11454,1.39614,0.84916,0.76337,0.85944,0.5823,1.25748,0.95839,1.33737,0.000456758,0.000456758,0.000456758
24,279.269,1.2829,1.05782,1.35192,0.89718,0.73872,0.86189,0.5693,1.29552,0.97699,1.34814,0.000401747,0.000401747,0.000401747
25,290.759,1.27855,1.0348,1.36152,0.88293,0.7492,0.87176,0.59326,1.25223,0.9318,1.32379,0.000346736,0.000346736,0.000346736
26,302.238,1.27073,0.95543,1.34453,0.90671,0.80022,0.90369,0.62008,1.21297,0.85778,1.30849,0.000291725,0.000291725,0.000291725
27,313.614,1.24163,0.95381,1.33024,0.90159,0.79932,0.90019,0.6189,1.20325,0.85557,1.29665,0.000236714,0.000236714,0.000236714
28,325.092,1.22963,0.91221,1.30501,0.92036,0.80004,0.91446,0.6375,1.1775,0.81236,1.26999,0.000181703,0.000181703,0.000181703
29,336.678,1.21351,0.90479,1.30971,0.919,0.81738,0.92077,0.6475,1.14303,0.77358,1.25366,0.000126692,0.000126692,0.000126692
30,348.437,1.19747,0.89835,1.29491,0.92762,0.81468,0.92378,0.65943,1.12648,0.75828,1.25039,7.1681e-05,7.1681e-05,7.1681e-05
